년,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			1907",143,,,
"			1908",143,,,
"			1909",143,12.8,7.8,18.8
"			1910",143,12.2,7.2,18.1
"			1911",143,12.6,7.8,18.4
"			1912",143,12.4,7.2,18.6
"			1913",143,11.9,6.5,18.4
"			1914",143,13.5,8.7,19.6
"			1915",143,12.9,8,19.1
"			1916",143,12.3,7.8,17.4
"			1917",143,11.1,6,16.8
"			1918",143,11.8,6.7,17.4
"			1919",143,12.2,6.9,18
"			1920",143,12.7,8.1,18.2
"			1921",143,11.9,7.3,17.4
"			1922",143,12.7,8.1,18.5
"			1923",143,12,7.5,17.3
"			1924",143,12.2,7.3,18.1
"			1925",143,12,7.3,17.4
"			1926",143,11.9,7.1,17.5
"			1927",143,12.4,7.6,18.1
"			1928",143,12.5,7.7,18.2
"			1929",143,12.7,7.7,18.7
"			1930",143,12.8,8.3,18.3
"			1931",143,12.3,7.7,17.8
"			1932",143,12.5,7.5,18.7
"			1933",143,12.5,7.9,18.1
"			1934",143,12.1,7.4,18
"			1935",143,13,8.1,18.9
"			1936",143,11.5,6.8,17.2
"			1937",143,12.7,8,18.3
"			1938",143,12.4,7.5,18.2
"			1939",143,12.9,7.6,19.2
"			1940",143,12.4,7.2,18.4
"			1941",143,12.3,7.3,18.2
"			1942",143,12.6,7.4,18.8
"			1943",143,12.7,7.5,18.8
"			1944",143,12.6,7.5,18.7
"			1945",143,12,7,18
"			1946",143,12.7,8,18.5
"			1947",143,11.4,6.6,17.3
"			1948",143,12.9,8.2,18.7
"			1949",143,12.5,7.9,18.4
"			1950",143,12.9,8.1,18.7
"			1951",143,13,7.9,19.2
"			1952",143,12.5,7.7,18.3
"			1953",143,12.6,7.9,18.4
"			1954",143,12.8,8.4,18.2
"			1955",143,13,8.1,18.8
"			1956",143,11.6,6.9,17.3
"			1957",143,12.1,7,17.9
"			1958",143,13,8.1,18.6
"			1959",143,13.6,9.1,19.1
"			1960",143,13.4,8.7,19.2
"			1961",143,13.7,9.1,19
"			1962",143,13.1,8.1,19
"			1963",143,12.3,7.5,17.8
"			1964",143,13.6,8.9,19.2
"			1965",143,12.8,7.6,18.6
"			1966",143,12.9,8.3,18.5
"			1967",143,13,8.4,18.6
"			1968",143,13,8.2,18.7
"			1969",143,12.5,7.7,17.7
"			1970",143,12.7,8.1,17.8
"			1971",143,13,8.2,18.4
"			1972",143,13.1,8.4,18.3
"			1973",143,13.7,8.8,19.3
"			1974",143,12.6,7.6,18.3
"			1975",143,13.5,9.2,18.8
"			1976",143,12.6,7.9,18.3
"			1977",143,13.5,8.6,19.3
"			1978",143,14.2,9.2,20
"			1979",143,13.7,8.9,19.3
"			1980",143,12.5,8,17.9
"			1981",143,12.9,8,18.5
"			1982",143,13.7,8.8,19.5
"			1983",143,13.5,8.7,19
"			1984",143,13.2,8.4,18.6
"			1985",143,13.5,9,18.6
"			1986",143,12.9,8.2,18.7
"			1987",143,13.7,8.9,19.6
"			1988",143,13.4,8.6,19.5
"			1989",143,14.3,9.7,19.9
"			1990",143,14.6,10.1,20.1
"			1991",143,13.7,9,19.1
"			1992",143,14.1,9.4,19.7
"			1993",143,13.4,8.8,18.9
"			1994",143,15.2,10.1,21.2
"			1995",143,13.9,8.9,20
"			1996",143,13.7,8.9,19.4
"			1997",143,14.5,9.6,20.3
"			1998",143,14.9,10.7,19.9
"			1999",143,14.3,9.9,19.2
"			2000",143,14.2,10,19
"			2001",143,14.8,10.5,19.8
"			2002",143,14.1,9.6,19.3
"			2003",143,13.8,9.6,18.5
"			2004",143,14.8,10.2,20.3
"			2005",143,14.2,9.8,19.5
"			2006",143,14.6,10.3,19.7
"			2007",143,15,10.7,20
"			2008",143,14.6,10.1,19.9
"			2009",143,14.8,10.2,20.2
"			2010",143,14.4,9.9,19.6
"			2011",143,14.3,9.9,19.3
"			2012",143,14.1,9.8,19.2
"			2013",143,15,10.4,20.4
"			2014",143,14.9,10.5,20.2
"			2015",143,14.8,10.2,20.1
"			2016",143,14.6,10.1,19.8
"			2017",143,14.4,9.3,20.1
"			2018",143,14.1,9.2,19.6
"			2019",143,14.8,9.9,20.3
"			2020",143,14.5,9.8,20
"			2021",143,14.6,9.8,20.2
"			2022",143,14.7,9.6,20.4
"			2023",143,15.1,10.2,20.7
"			2024",143,15.8,11.3,21.2
"			2025",143,,,
"			",,,,
